agency_name,w_0,s_0,w_1,s_1,dw,ds,within_effect,mix_effect,mix_effect_uncentred,interaction_effect,total_effect,base_period,latest_period
Department of Labor,0.002955486299594748,0.9494378610890241,0.0022496804389164084,0.9660001081245613,-0.0007058058606783397,0.016562247035537214,4.894949420403397e-05,-0.0001740213716319879,-0.0006701188067065406,-1.1689731023684624e-05,-0.00013676160845163857,2024,2025
Social Security Administration,0.0025302806929940374,0.8607709307537802,0.0022395456462046383,0.8368112688031423,-0.00029073504678939904,-0.023959661950637923,-6.062467004436299e-05,-4.590417516065994e-05,-0.00025025627682765484,6.9659134382769005e-06,-9.956293176674603e-05,2024,2025
General Services Administration,0.035767779225290945,0.8913283334088522,0.030535894274952624,0.9205094913612183,-0.005231884950338321,0.029181157952366088,0.0010437452151785733,-0.0009859354650106767,-0.004663327293371911,-0.00015267246112442957,-9.486271095653299e-05,2024,2025
Office of Personnel Management,0.0007251984263133585,0.9043406293311369,0.00025465085046851585,0.9297261633791541,-0.0004705475758448426,0.025385534048017244,1.8409549342746286e-05,-9.479640293701103e-05,-0.0004255352908697658,-1.1945101507821229e-05,-8.833195510208598e-05,2024,2025
Department of Transportation,0.011559403482543485,0.8203376280802842,0.01157089719508617,0.8147057949081218,1.149371254268415e-05,-0.005631833172162426,-6.510063198339827e-05,1.3500142515155618e-06,9.428724885102129e-06,-6.473067156918794e-08,-6.38153484034519e-05,2024,2025
Small Business Administration,0.00045360544452355234,0.8603978009178874,0.00014217301673938816,0.8445282941854777,-0.00031143242778416415,-0.01586950673240972,-7.198494655724219e-06,-4.905588124102679e-05,-0.0002679557760000136,4.942279009411498e-06,-5.1312096887339513e-05,2024,2025
Department of Commerce,0.006997787898259015,0.8105822140920135,0.005333417725507107,0.8345787105978861,-0.0016643701727519083,0.023996496505872655,0.0001679223928494104,-0.0001792549101667655,-0.0013491088596979488,-3.993905303491984e-05,-5.1271570352274935e-05,2024,2025
Millennium Challenge Corporation,0.00014107334257673645,0.9603681385715579,5.180749809184752e-05,0.49247257254529947,-8.926584448488894e-05,-0.4678955660262584,-6.600759147615837e-05,-2.2984818767848523e-05,-8.572807290597096e-05,4.176709283206907e-05,-4.722531741193782e-05,2024,2025
District of Columbia Courts,0.00013697192407795145,0.8326990968267152,8.02255354815093e-05,0.616026995926517,-5.674638859644215e-05,-0.21667210090019817,-2.967799455431218e-05,-7.36671573375158e-06,-4.725266653243519e-05,1.2295359235690169e-05,-2.4749351052373595e-05,2024,2025
Corporation for National and Community Service,0.00013166517915563566,0.9163978574163634,3.880496881424347e-05,0.8040935414699407,-9.286021034139219e-05,-0.11230431594642265,-1.4786567879036849e-05,-1.9827232669511284e-05,-8.509689779608463e-05,1.0428602401030972e-05,-2.4185198147517166e-05,2024,2025
Pension Benefit Guaranty Corporation,0.0004174991177487842,0.960535442553575,0.000373995281095717,0.9266267119247888,-4.3503836653067214e-05,-0.03390873062878619,-1.415686512149941e-05,-1.1208962580909539e-05,-4.1786976992332355e-05,1.4751598783875714e-06,-2.3890667824021377e-05,2024,2025
Consumer Financial Protection Bureau,0.00025420026423465136,0.9317744743343926,0.00014908857932809788,0.964072793899962,-0.00010511168490655347,0.03229831956556939,8.210241367902949e-06,-2.405939276293624e-05,-9.794038495020618e-05,-3.3949307891873007e-06,-1.9244082184220594e-05,2024,2025
Railroad Retirement Board,4.6095902325043e-05,0.539632697488369,5.512572193551138e-05,0.914562768259573,9.02981961046838e-06,0.374930070771204,1.7282739920990877e-05,-1.4741015197077315e-06,4.872785914230425e-06,3.3855509056041153e-06,1.9194189306887264e-05,2024,2025
National Science Foundation,0.0010468484127374026,0.8817317856597401,0.0009118674224301594,0.9273379434267516,-0.00013498099030724315,0.04560615776701149,4.774273386944754e-05,-2.4141474158733285e-05,-0.00011901702961372558,-6.1559643394995795e-06,1.744529537121468e-05,2024,2025
U.S. International Development Finance Corporation,0.00013985160641761274,0.9645298703964006,0.0001120653757806421,0.9175196869245886,-2.7786230636970644e-05,-0.04701018347181196,-6.57444967651961e-06,-7.270239562680281e-06,-2.680064943508179e-05,1.3062358002340724e-06,-1.253845343896582e-05,2024,2025
National Archives and Records Administration,0.0003009638650629347,0.8031105756607629,0.00026634671071816524,0.8581277072297783,-3.4617154344769466e-05,0.05501713156901533,1.6558168561686856e-05,-3.4696673050740314e-06,-2.7801402753565287e-05,-1.9045365351310923e-06,1.118396472148173e-05,2024,2025
Peace Corps,0.0001350514920381978,0.9408601024199201,8.801315771323638e-05,0.9500025726308085,-4.7038334324961425e-05,0.00914247021088832,1.2347042428952445e-06,-1.1194146852257598e-05,-4.425649205064565e-05,-4.300465703357654e-07,-1.0389489179698119e-05,2024,2025
Executive Office of the President,8.432160483818706e-05,0.8290586027825056,7.9634985578492e-05,0.7239428177053342,-4.686619259695052e-06,-0.10511578507717145,-8.863531691533052e-06,-5.913470080754857e-07,-3.885482015216361e-06,4.926376628406375e-07,-8.9622410367679e-06,2024,2025
Equal Employment Opportunity Commission,6.990123773830142e-05,0.45701893938271615,6.234005854475878e-05,0.5703297687212887,-7.561179193542645e-06,0.11331082933857256,7.92056721991966e-06,1.8590060893052612e-06,-3.4556020955155204e-06,-8.567634851978763e-07,8.922809824027046e-06,2024,2025
